U.S. Call Area 0,
CO,Colorado 
IA,Iowa 
KS,Kansas 
MN,Minnesota 
MO,Missouri 
ND,North Dakota 
NE,Nebraska 
SD,South Dakota 
U.S. Call Area 1,
CT,Connecticut 
EMA,Eastern Massachusetts 
ME,Maine 
NH,New Hampshire 
RI,Rhode Island 
VT,Vermont 
WMA,Western Massachusetts 
U.S. Call Area 2,
ENY,Eastern New York 
NLI,New York City-Long Island 
NNJ,Northern New Jersey 
NNY,Northern New York 
SNJ,Southern New Jersey 
WNY,Western New York 
U.S. Call Area 3,
DE,Delaware 
EPA,Eastern Pennsylvania 
MDC,Maryland-DC 
WPA,Western Pennsylvania 
U.S. Call Area 4,
AL,Alabama 
GA,Georgia 
KY,Kentucky 
NC,North Carolina 
NFL,Northern Florida 
PR,Puerto Rico 
SC,South Carolina 
SFL,Southern Florida 
TN,Tennessee 
VA,Virginia 
VI,US Virgin Islands 
WCF,West Central Florida 
U.S. Call Area 5,
AR,Arkansas 
LA,Louisiana 
MS,Mississippi 
NM,New Mexico 
NTX,North Texas 
OK,Oklahoma 
STX,South Texas 
WTX,West Texas 
U.S. Call Area 6,
EB,East Bay 
LAX,Los Angeles 
ORG,Orange 
PAC,Pacific 
SB,Santa Barbara 
SCV,Santa Clara Valley 
SDG,San Diego 
SF,San Francisco 
SJV,San Joaquin Valley 
SV,Sacramento Valley 
U.S. Call Area 7,
AK,Alaska 
AZ,Arizona 
EWA,Eastern Washington 
ID,Idaho 
MT,Montana 
NV,Nevada 
OR,Oregon 
UT,Utah 
WWA,Western Washington 
WY,Wyoming 
U.S. Call Area 8,
MI,Michigan 
OH,Ohio 
WV,West Virginia 
U.S. Call Area 9,
IL,Illinois 
IN,Indiana 
WI,Wisconsin 
Canada,
AB,Alberta 
BC,British Columbia 
GH,Ontario Golden Horseshoe 
MB,Manitoba 
NB,New Brunswick 
NL,Newfoundland and Labrador 
NS,Nova Scotia 
ONE,Ontario East 
ONN,Ontario North 
ONS,Ontario South 
PE,Prince Edward Island 
QC,Quebec 
SK,Saskatchewan 
TER,Territories 
